Data,DiaCol,Vazao,Dia,DataMes,DataCompleta,Ano,Mes,Evento
01/03/1934,Vazao01,,1,1934-03-01,1934-03-01,1934,3,Normal
01/03/1934,Vazao02,,2,1934-03-01,1934-03-02,1934,3,Normal
01/03/1934,Vazao03,,3,1934-03-01,1934-03-03,1934,3,Normal
01/03/1934,Vazao04,,4,1934-03-01,1934-03-04,1934,3,Normal
01/03/1934,Vazao05,,5,1934-03-01,1934-03-05,1934,3,Normal
01/03/1934,Vazao06,,6,1934-03-01,1934-03-06,1934,3,Normal
01/03/1934,Vazao07,,7,1934-03-01,1934-03-07,1934,3,Normal
01/03/1934,Vazao08,20.9584,8,1934-03-01,1934-03-08,1934,3,Normal
01/03/1934,Vazao09,18.7225,9,1934-03-01,1934-03-09,1934,3,Normal
01/03/1934,Vazao10,17.4264,10,1934-03-01,1934-03-10,1934,3,Normal
01/03/1934,Vazao11,17.002,11,1934-03-01,1934-03-11,1934,3,Normal
01/03/1934,Vazao12,16.165,12,1934-03-01,1934-03-12,1934,3,Normal
01/03/1934,Vazao13,16.165,13,1934-03-01,1934-03-13,1934,3,Normal
01/03/1934,Vazao14,17.4264,14,1934-03-01,1934-03-14,1934,3,Normal
01/03/1934,Vazao15,18.2866,15,1934-03-01,1934-03-15,1934,3,Normal
01/03/1934,Vazao16,18.7225,16,1934-03-01,1934-03-16,1934,3,Normal
01/03/1934,Vazao17,20.0528,17,1934-03-01,1934-03-17,1934,3,Normal
01/03/1934,Vazao18,18.7225,18,1934-03-01,1934-03-18,1934,3,Normal
01/03/1934,Vazao19,25.2138,19,1934-03-01,1934-03-19,1934,3,Normal
01/03/1934,Vazao20,28.2099,20,1934-03-01,1934-03-20,1934,3,Normal
01/03/1934,Vazao21,34.568,21,1934-03-01,1934-03-21,1934,3,Normal
01/03/1934,Vazao22,23.2865,22,1934-03-01,1934-03-22,1934,3,Normal
01/03/1934,Vazao23,23.2865,23,1934-03-01,1934-03-23,1934,3,Normal
01/03/1934,Vazao24,30.8008,24,1934-03-01,1934-03-24,1934,3,Normal
01/03/1934,Vazao25,34.568,25,1934-03-01,1934-03-25,1934,3,Normal
01/03/1934,Vazao26,29.7543,26,1934-03-01,1934-03-26,1934,3,Normal
01/03/1934,Vazao27,27.1974,27,1934-03-01,1934-03-27,1934,3,Normal
01/03/1934,Vazao28,19.6056,28,1934-03-01,1934-03-28,1934,3,Normal
01/03/1934,Vazao29,17.002,29,1934-03-01,1934-03-29,1934,3,Normal
01/03/1934,Vazao30,17.002,30,1934-03-01,1934-03-30,1934,3,Normal
01/03/1934,Vazao31,15.7525,31,1934-03-01,1934-03-31,1934,3,Normal
01/04/1934,Vazao01,15.3439,1,1934-04-01,1934-04-01,1934,4,Normal
01/04/1934,Vazao02,15.3439,2,1934-04-01,1934-04-02,1934,4,Normal
01/04/1934,Vazao03,14.1421,3,1934-04-01,1934-04-03,1934,4,Normal
01/04/1934,Vazao04,14.1421,4,1934-04-01,1934-04-04,1934,4,Normal
01/04/1934,Vazao05,13.7497,5,1934-04-01,1934-04-05,1934,4,Normal
01/04/1934,Vazao06,13.3614,6,1934-04-01,1934-04-06,1934,4,Normal
01/04/1934,Vazao07,12.9772,7,1934-04-01,1934-04-07,1934,4,Normal
01/04/1934,Vazao08,12.9772,8,1934-04-01,1934-04-08,1934,4,Normal
01/04/1934,Vazao09,12.2214,9,1934-04-01,1934-04-09,1934,4,Normal
01/04/1934,Vazao10,12.5972,10,1934-04-01,1934-04-10,1934,4,Normal
01/04/1934,Vazao11,12.2214,11,1934-04-01,1934-04-11,1934,4,Normal
01/04/1934,Vazao12,13.3614,12,1934-04-01,1934-04-12,1934,4,Normal
01/04/1934,Vazao13,19.1622,13,1934-04-01,1934-04-13,1934,4,Normal
01/04/1934,Vazao14,15.7525,14,1934-04-01,1934-04-14,1934,4,Normal
01/04/1934,Vazao15,15.7525,15,1934-04-01,1934-04-15,1934,4,Normal
01/04/1934,Vazao16,13.3614,16,1934-04-01,1934-04-16,1934,4,Normal
01/04/1934,Vazao17,12.2214,17,1934-04-01,1934-04-17,1934,4,Normal
01/04/1934,Vazao18,14.9393,18,1934-04-01,1934-04-18,1934,4,Normal
01/04/1934,Vazao19,12.5972,19,1934-04-01,1934-04-19,1934,4,Normal
01/04/1934,Vazao20,12.9772,20,1934-04-01,1934-04-20,1934,4,Normal
01/04/1934,Vazao21,11.8498,21,1934-04-01,1934-04-21,1934,4,Normal
01/04/1934,Vazao22,11.8498,22,1934-04-01,1934-04-22,1934,4,Normal
01/04/1934,Vazao23,11.8498,23,1934-04-01,1934-04-23,1934,4,Normal
01/04/1934,Vazao24,17.002,24,1934-04-01,1934-04-24,1934,4,Normal
01/04/1934,Vazao25,12.2214,25,1934-04-01,1934-04-25,1934,4,Normal
01/04/1934,Vazao26,11.1195,26,1934-04-01,1934-04-26,1934,4,Normal
01/04/1934,Vazao27,11.8498,27,1934-04-01,1934-04-27,1934,4,Normal
01/04/1934,Vazao28,13.3614,28,1934-04-01,1934-04-28,1934,4,Normal
01/04/1934,Vazao29,11.8498,29,1934-04-01,1934-04-29,1934,4,Normal
01/04/1934,Vazao30,12.2214,30,1934-04-01,1934-04-30,1934,4,Normal
01/05/1934,Vazao01,11.4825,1,1934-05-01,1934-05-01,1934,5,Normal
01/05/1934,Vazao02,11.1195,2,1934-05-01,1934-05-02,1934,5,Normal
01/05/1934,Vazao03,10.4066,3,1934-05-01,1934-05-03,1934,5,Normal
01/05/1934,Vazao04,10.4066,4,1934-05-01,1934-05-04,1934,5,Normal
01/05/1934,Vazao05,9.7114,5,1934-05-01,1934-05-05,1934,5,Normal
01/05/1934,Vazao06,9.0342,6,1934-05-01,1934-05-06,1934,5,Normal
01/05/1934,Vazao07,9.0342,7,1934-05-01,1934-05-07,1934,5,Normal
01/05/1934,Vazao08,8.7024,8,1934-05-01,1934-05-08,1934,5,Normal
01/05/1934,Vazao09,8.3753,9,1934-05-01,1934-05-09,1934,5,Seca
01/05/1934,Vazao10,8.7024,10,1934-05-01,1934-05-10,1934,5,Normal
01/05/1934,Vazao11,8.7024,11,1934-05-01,1934-05-11,1934,5,Normal
01/05/1934,Vazao12,8.7024,12,1934-05-01,1934-05-12,1934,5,Normal
01/05/1934,Vazao13,8.7024,13,1934-05-01,1934-05-13,1934,5,Normal
01/05/1934,Vazao14,8.3753,14,1934-05-01,1934-05-14,1934,5,Seca
01/05/1934,Vazao15,8.0529,15,1934-05-01,1934-05-15,1934,5,Seca
01/05/1934,Vazao16,7.7351,16,1934-05-01,1934-05-16,1934,5,Seca
01/05/1934,Vazao17,7.7351,17,1934-05-01,1934-05-17,1934,5,Seca
01/05/1934,Vazao18,7.7351,18,1934-05-01,1934-05-18,1934,5,Seca
01/05/1934,Vazao19,7.7351,19,1934-05-01,1934-05-19,1934,5,Seca
01/05/1934,Vazao20,7.7351,20,1934-05-01,1934-05-20,1934,5,Seca
01/05/1934,Vazao21,7.7351,21,1934-05-01,1934-05-21,1934,5,Seca
01/05/1934,Vazao22,7.114,22,1934-05-01,1934-05-22,1934,5,Seca
01/05/1934,Vazao23,6.8108,23,1934-05-01,1934-05-23,1934,5,Seca
01/05/1934,Vazao24,6.8108,24,1934-05-01,1934-05-24,1934,5,Seca
01/05/1934,Vazao25,6.8108,25,1934-05-01,1934-05-25,1934,5,Seca
01/05/1934,Vazao26,6.5124,26,1934-05-01,1934-05-26,1934,5,Seca
01/05/1934,Vazao27,6.5124,27,1934-05-01,1934-05-27,1934,5,Seca
01/05/1934,Vazao28,6.2191,28,1934-05-01,1934-05-28,1934,5,Seca
01/05/1934,Vazao29,6.2191,29,1934-05-01,1934-05-29,1934,5,Seca
01/05/1934,Vazao30,5.9308,30,1934-05-01,1934-05-30,1934,5,Seca
01/05/1934,Vazao31,5.9308,31,1934-05-01,1934-05-31,1934,5,Seca
01/06/1934,Vazao01,5.9308,1,1934-06-01,1934-06-01,1934,6,Seca
01/06/1934,Vazao02,5.9308,2,1934-06-01,1934-06-02,1934,6,Seca
01/06/1934,Vazao03,5.9308,3,1934-06-01,1934-06-03,1934,6,Seca
01/06/1934,Vazao04,5.9308,4,1934-06-01,1934-06-04,1934,6,Seca
01/06/1934,Vazao05,5.6476,5,1934-06-01,1934-06-05,1934,6,Seca
01/06/1934,Vazao06,5.6476,6,1934-06-01,1934-06-06,1934,6,Seca
01/06/1934,Vazao07,5.3696,7,1934-06-01,1934-06-07,1934,6,Seca
01/06/1934,Vazao08,6.2191,8,1934-06-01,1934-06-08,1934,6,Seca
01/06/1934,Vazao09,6.2191,9,1934-06-01,1934-06-09,1934,6,Seca
01/06/1934,Vazao10,5.9308,10,1934-06-01,1934-06-10,1934,6,Seca
01/06/1934,Vazao11,5.9308,11,1934-06-01,1934-06-11,1934,6,Seca
01/06/1934,Vazao12,5.9308,12,1934-06-01,1934-06-12,1934,6,Seca
01/06/1934,Vazao13,5.6476,13,1934-06-01,1934-06-13,1934,6,Seca
01/06/1934,Vazao14,5.6476,14,1934-06-01,1934-06-14,1934,6,Seca
01/06/1934,Vazao15,5.3696,15,1934-06-01,1934-06-15,1934,6,Seca
01/06/1934,Vazao16,5.3696,16,1934-06-01,1934-06-16,1934,6,Seca
01/06/1934,Vazao17,5.3696,17,1934-06-01,1934-06-17,1934,6,Seca
01/06/1934,Vazao18,5.0968,18,1934-06-01,1934-06-18,1934,6,Seca
01/06/1934,Vazao19,5.0968,19,1934-06-01,1934-06-19,1934,6,Seca
01/06/1934,Vazao20,5.0968,20,1934-06-01,1934-06-20,1934,6,Seca
01/06/1934,Vazao21,5.0968,21,1934-06-01,1934-06-21,1934,6,Seca
01/06/1934,Vazao22,5.0968,22,1934-06-01,1934-06-22,1934,6,Seca
01/06/1934,Vazao23,5.0968,23,1934-06-01,1934-06-23,1934,6,Seca
01/06/1934,Vazao24,5.3696,24,1934-06-01,1934-06-24,1934,6,Seca
01/06/1934,Vazao25,5.6476,25,1934-06-01,1934-06-25,1934,6,Seca
01/06/1934,Vazao26,5.6476,26,1934-06-01,1934-06-26,1934,6,Seca
01/06/1934,Vazao27,5.9308,27,1934-06-01,1934-06-27,1934,6,Seca
01/06/1934,Vazao28,5.9308,28,1934-06-01,1934-06-28,1934,6,Seca
01/06/1934,Vazao29,5.6476,29,1934-06-01,1934-06-29,1934,6,Seca
01/06/1934,Vazao30,5.6476,30,1934-06-01,1934-06-30,1934,6,Seca
01/07/1934,Vazao01,5.9308,1,1934-07-01,1934-07-01,1934,7,Seca
01/07/1934,Vazao02,5.9308,2,1934-07-01,1934-07-02,1934,7,Seca
01/07/1934,Vazao03,7.114,3,1934-07-01,1934-07-03,1934,7,Seca
01/07/1934,Vazao04,7.114,4,1934-07-01,1934-07-04,1934,7,Seca
